id	title	description	availability	availability date	expiration date	link	mobile link	image link	price	sale price	sale price effective date	identifier exists	gtin	mpn	brand	product highlight	product detail	additional image link	condition	adult	color	size	size type	size system	gender	material	pattern	age group	multipack	is bundle	unit pricing measure	unit pricing base measure	energy efficiency class	min energy efficiency class	min energy efficiency class	item group id	sell on google quantity
AMRIT-COMBO-005	Complete Care Pack	1kg A2 Ghee + 1kg Honey + 10ml Tulsi + 10ml Lemongrass + 10ml Mint Oil. Ultimate wellness bundle. Everything you need for complete wellness. Save ₹450 compared to individual prices. 5 premium products in one bundle. Perfect gift for health-conscious loved ones	in stock			https://amritmilkorganic.com/products/complete-care-pack		https://cdn.sanity.io/images/fqzgs92z/production/908ca290dd662f9887083e3a77936e2fad667edb-1376x752.jpg	4200 INR			no			Amrit Milk				new	no																	
AMRIT-COMBO-003	Aromatherapy Essentials	10ml Tulsi Oil + 10ml Lemongrass Oil + 10ml Mint Oil. Complete aromatherapy set for wellness. Complete essential oils set. Save ₹100 compared to individual prices. Perfect for diffusers & massage therapy. 100% pure steam-distilled oils	in stock			https://amritmilkorganic.com/products/aromatherapy-essentials		https://cdn.sanity.io/images/fqzgs92z/production/68793ff95050c5b18012688bd4aa0f99b8f86f72-1376x752.jpg	850 INR			no			Amrit Milk				new	no																	
AMRIT-COMBO-004	Golden Healing Duo	1kg A2 Ghee + 1kg Jamun Honey. The golden Ayurvedic healing pair for digestion & immunity. Traditional Ayurvedic healing duo. Save ₹300 compared to individual prices. Pure Bilona Ghee + Diabetic-friendly Jamun Honey. Perfect for golden milk (Haldi Doodh)	in stock			https://amritmilkorganic.com/products/golden-healing-duo		https://cdn.sanity.io/images/fqzgs92z/production/98adb5e35149dcf7d7e022c76aae80aa9480326c-640x640.jpg	3600 INR			no			Amrit Milk				new	no																	
AMRIT-COMBO-002	Immunity Booster Pack	1kg Multiflora Honey + 10ml Tulsi Oil + 10ml Mint Oil. Natural immunity power combo. Powerful immunity-boosting trio. Save ₹300 compared to individual prices. Raw Honey + Tulsi + Mint essential oils. Fight cold, cough & respiratory issues naturally	in stock			https://amritmilkorganic.com/products/immunity-booster-pack		https://cdn.sanity.io/images/fqzgs92z/production/7651a1a7e96c0390ab09399ee97210cd63c71bde-1536x1024.png	2700 INR			no			Amrit Milk				new	no																	
AMRIT-COMBO-001	Wellness Trio Pack	1kg A2 Ghee + 1kg Multiflora Honey + 10ml Tulsi Oil. The ultimate Ayurvedic wellness bundle. Complete Ayurvedic wellness trio. Save ₹400 compared to individual prices. Premium A2 Bilona Ghee + Raw Forest Honey + Pure Tulsi Oil. Perfect for health-conscious families	in stock			https://amritmilkorganic.com/products/wellness-trio-pack		https://cdn.sanity.io/images/fqzgs92z/production/5b28ead13d3e3bfdc67de186b4ac2a43eb6b9202-2752x1536.png	3500 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-005-SM	Amrit Milk Organic A2 Cow Ghee	Traditional Bilona method A2 Cow Ghee. Pure gold for health. Made using traditional Bilona hand-churning method. 100% A2 beta-casein protein from Desi Gir cows. Compact 500ml size perfect for trying or gifting. Chemical-free | Preservative-free | Grain-fed cows	in stock			https://amritmilkorganic.com/products/a2-cow-ghee-500ml		https://cdn.sanity.io/images/fqzgs92z/production/9a399125cfa18ed6e683c0e146d4d5b766f71690-1024x576.png	1350 INR			no			Amrit Milk				new	no																	
AMRIT-GAU-003	Amrit Organic Gaumutra - 1 L	Distilled Gaumutra for spiritual and medicinal use. From Desi Gir cows (grass-fed, hormone-free). Filtered and distilled for purity. Traditional Ayurvedic ingredient. Spiritual purification use	in stock			https://amritmilkorganic.com/products/gaumutra-1l		https://cdn.sanity.io/images/fqzgs92z/production/3e5309041a74db1c1e9eec117d16c033ce3c366a-1024x1024.jpg	100 INR			no			Amrit Milk				new	no																	
AMRIT-GAU-002	Amrit Organic Upla (Cow Dung Cakes) - 2 pcs	Traditionally dried Cow Dung cakes for rituals and fuel. Hand-crafted from Desi Gir cow dung. Sun-dried naturally for weeks. Traditional fuel and ritual use. Sacred in Vedic traditions | Eco-friendly	in stock			https://amritmilkorganic.com/products/cow-dung-cakes-2pcs		https://cdn.sanity.io/images/fqzgs92z/production/b3a9d3fde8037474d9797416a96a35d691f8eecf-412x512.png	100 INR			no			Amrit Milk				new	no																	
AMRIT-GAU-001	Amrit Organic Cow Manure - 1 kg	Organic manure from Desi Gir cows for your garden. 100% organic from grass-fed Desi Gir cows. Naturally composted and aged. Rich in NPK and beneficial microbes. Eco-friendly | Chemical-free fertilizer	in stock			https://amritmilkorganic.com/products/cow-manure-1kg		https://cdn.sanity.io/images/fqzgs92z/production/7574ecf8068686dc3bd98fae76f4e7ddad582146-1344x705.png	30 INR			no			Amrit Milk				new	no																	
AMRIT-MISC-001	Amrit Organic Turmeric - 1 kg	High-curcumin Organic Turmeric powder. 100% pure organic turmeric rhizomes. High curcumin content (5-7%). Vibrant golden-yellow color with earthy aroma. No additives | No artificial colors | Stone-ground	in stock			https://amritmilkorganic.com/products/organic-turmeric-1kg		https://cdn.sanity.io/images/fqzgs92z/production/129fb9331e67f2a20bcc7c90ced247eda6232f66-1024x1024.jpg	900 INR			no			Amrit Milk				new	no																	
AMRIT-HONEY-002	Amrit Organic Jamun Honey	Medicinal honey from Jamun flower nectar. Good for diabetics. 100% raw, unprocessed Jamun (Indian Blackberry) honey. Low glycemic index - Diabetes-friendly. Dark purple-black color with unique tangy flavor. No added sugar | No heating | Single-origin	in stock			https://amritmilkorganic.com/products/jamun-honey-1kg		https://cdn.sanity.io/images/fqzgs92z/production/4bfe396336e9320d81eb6fe74c7b6c8e49dad372-1008x1056.png	1200 INR			no			Amrit Milk				new	no																	
AMRIT-HONEY-001	Amrit Organic Multiflora Honey	Pure Multiflora honey collected from diverse forest flowers. 100% raw, unprocessed, unpasteurized honey. Collected from diverse forest wildflowers. Rich amber color with complex flavor profile. No added sugar | No heating | Single-origin	in stock			https://amritmilkorganic.com/products/multiflora-honey-1kg		https://cdn.sanity.io/images/fqzgs92z/production/bd8f581ecd60386b7b5f9139fddb406acf865a70-1008x1056.png	1200 INR			no			Amrit Milk				new	no																	
AMRIT-WELL-005	Amrit Organic Bull Balm Dropper (10ml)	Concentrated formula for deep tissue relief. Powerful blend of natural oils. Precise dropper application. Concentrated formula for deep relief. Travel-friendly | Controlled dosing | Farm-crafted	in stock			https://amritmilkorganic.com/products/bull-balm-dropper		https://cdn.sanity.io/images/fqzgs92z/production/0dfcb10cf6c34544f97e78567559bcd3a9107854-1024x1024.png	290 INR			no			Amrit Milk				new	no																	
AMRIT-WELL-004	Amrit Organic Bull Balm Spray (10ml)	Targeted pain relief spray. Powerful blend of natural oils. Convenient spray application. Instant cooling + warming relief. Travel-friendly | Quick-dry | Farm-crafted	in stock			https://amritmilkorganic.com/products/bull-balm-spray		https://cdn.sanity.io/images/fqzgs92z/production/0dfcb10cf6c34544f97e78567559bcd3a9107854-1024x1024.png	250 INR			no			Amrit Milk				new	no																	
AMRIT-WELL-003	Amrit Organic Bull Balm Roll-On (10ml)	Ancient formula for pain relief in a handy roll-on. Powerful blend of natural oils. Smooth roll-on application. Instant cooling + warming relief. Travel-friendly | Non-sticky | Farm-crafted	in stock			https://amritmilkorganic.com/products/bull-balm-rollon		https://cdn.sanity.io/images/fqzgs92z/production/ac02585b450adf5577ee48799d02c4bb2b452730-1168x880.jpg	225 INR			no			Amrit Milk				new	no																	
AMRIT-WELL-002	Amrit Organic Bees Wax (Moisturizer)	Pure Bees Wax for skin hydration. 100% pure, raw beeswax from organic hives. Multi-purpose beauty and skincare ingredient. Natural golden color with honey aroma. Chemical-free | Unrefined | Handcrafted	in stock			https://amritmilkorganic.com/products/bees-wax-moisturizer		https://cdn.sanity.io/images/fqzgs92z/production/78bee4a170b50d55dee352eb89f1c975c81f9569-1024x1024.jpg	500 INR			no			Amrit Milk				new	no																	
AMRIT-WELL-001	Amrit Organic Lip Balm (Moisturizer)	Natural moisturizing Lip Balm. 100% natural and chemical-free formula. Deeply moisturizes and heals chapped lips. Long-lasting protection. Compact stick for on-the-go use	in stock			https://amritmilkorganic.com/products/lip-balm-moisturizer		https://cdn.sanity.io/images/fqzgs92z/production/646597975567f3d1ba7e0ab2fbb3b01ee0a9a88f-1024x1024.jpg	300 INR			no			Amrit Milk				new	no																	
AMRIT-SWEET-003	Amrit Organic Jaggery - 1 kg	Pure chemical-free Organic Jaggery. 100% pure sugarcane jaggery (gur). Traditional open-pan boiling method. No chemicals | No preservatives. Rich golden-brown color with earthy aroma	in stock			https://amritmilkorganic.com/products/jaggery-1kg-pure		https://cdn.sanity.io/images/fqzgs92z/production/9e61775627a6545fb64f008a291bb43fbee1e98e-1024x1024.jpg	150 INR			no			Amrit Milk				new	no																	
AMRIT-SWEET-002	Amrit Organic Jaggery Bites (Desi Chocolate Style) - 500g	Healthy jaggery bites, a natural substitute for chocolates. Healthy alternative to commercial chocolates. Bite-sized jaggery cubes. No added sugar or chemicals. Kids love these natural treats	in stock			https://amritmilkorganic.com/products/jaggery-bites-500g		https://cdn.sanity.io/images/fqzgs92z/production/9e61775627a6545fb64f008a291bb43fbee1e98e-1024x1024.jpg	110 INR			no			Amrit Milk				new	no																	
AMRIT-SWEET-001	Amrit Organic Rasgulla - 1 Jar	Soft and spongy Rasgullas made from A2 milk paneer. Made from pure A2 Desi Gir cow milk paneer. Soft, spongy, melt-in-mouth texture. Soaked in light sugar syrup. Traditional Bengali delicacy | Handcrafted	in stock			https://amritmilkorganic.com/products/rasgulla-jar		https://cdn.sanity.io/images/fqzgs92z/production/85546aeca62391938aecc8c696992d34ab3bbb47-1024x1024.jpg	450 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-008	Amrit Organic Mint Oil - 10 ml	Cooling Mint essential oil. Cold-pressed & distilled. Pure steam-distilled Peppermint/Mentha oil. Intensely cooling and refreshing. Therapeutic grade essential oil. 100% natural | No synthetic menthol	in stock			https://amritmilkorganic.com/products/menthol-oil-10ml		https://cdn.sanity.io/images/fqzgs92z/production/f01b25fbc66a8ea6b53e11d070a2be7cb98911b9-1344x734.png	250 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-007	Amrit Organic Lemongrass Oil - 10 ml	Refreshing Lemongrass essential oil. Cold-pressed & distilled. Pure steam-distilled Lemongrass oil. Fresh, citrusy, uplifting aroma. Therapeutic grade essential oil. 100% natural | No synthetic fragrances	in stock			https://amritmilkorganic.com/products/lemongrass-oil-10ml		https://cdn.sanity.io/images/fqzgs92z/production/388e163a5b88f360ce0d723c17fb8068775e3f41-1344x734.png	400 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-006	Amrit Organic Tulsi Oil - 10 ml	Sacred Tulsi essential oil. Cold-pressed & distilled. Pure steam-distilled Tulsi (Holy Basil) oil. Therapeutic grade essential oil. Potent adaptogenic properties. 100% natural | No synthetic additives	in stock			https://amritmilkorganic.com/products/tulsi-oil-10ml		https://cdn.sanity.io/images/fqzgs92z/production/4ddd0c53ed573004aa4e67fe86a7332f11e3d2ec-1792x2400.png	300 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-005	Amrit Organic Sesame (Til) Oil - 1 L	Cold-pressed Sesame (Til) oil. Traditional wood-pressed (Kacchi Ghani) method. 100% pure sesame seeds (white til). Rich, nutty aroma with golden color. No chemicals | No refining | Single-pressed	in stock			https://amritmilkorganic.com/products/sesame-til-oil-1l		https://cdn.sanity.io/images/fqzgs92z/production/e4a01eddb60d042b79ea243b3fa33497b53e984a-1344x771.png	800 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-004	Amrit Organic Coconut Oil - 1 L	Pure cold-pressed Coconut oil for cooking and care. Traditional wood-pressed (Kacchi Ghani) virgin coconut oil. 100% pure coconut kernel (copra). Natural coconut aroma with pristine white color. No heat treatment | No chemicals | Single-pressed	in stock			https://amritmilkorganic.com/products/coconut-oil-1l-premium		https://cdn.sanity.io/images/fqzgs92z/production/6a45376f07d5d1654fe6a703797a047373a9814b-643x773.png	1000 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-003	Amrit Organic Groundnut Oil - 1 L	Cold-pressed Groundnut oil, rich in flavor. Traditional wood-pressed (Kacchi Ghani) method. 100% pure groundnut (peanut) kernels. Mild, nutty flavor with golden color. High smoke point | No refining | Single-pressed	in stock			https://amritmilkorganic.com/products/groundnut-oil-1l-premium		https://cdn.sanity.io/images/fqzgs92z/production/491fdb1ea81a97465aed87a076fc6f3243f80674-1024x1536.png	600 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-002	Amrit Organic Black Mustard Oil - 1 L	Cold-pressed Black Mustard oil, pungent and pure. Traditional wood-pressed (Kacchi Ghani) method. 100% pure black mustard seeds. Intense pungent flavor with dark amber color. No chemicals | No refining | Single-pressed	in stock			https://amritmilkorganic.com/products/black-mustard-oil-1l		https://cdn.sanity.io/images/fqzgs92z/production/384b4d7d888c47861c58eff5726e2fae46812fe6-675x1303.png	350 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-001	Amrit Organic Yellow Mustard Oil - 1 L	Cold-pressed Yellow Mustard oil (Kacchi Ghani). Traditional wood-pressed (Kacchi Ghani) method. 100% pure yellow mustard seeds. Rich, pungent aroma with golden color. No chemicals | No refining | Single-pressed	in stock			https://amritmilkorganic.com/products/yellow-mustard-oil-1l		https://cdn.sanity.io/images/fqzgs92z/production/59362eb5f34e41d0a0bf3591a084b5e638405572-645x779.png	380 INR			no			Amrit Milk				new	no																	
AMRIT-RICE-004	Amrit Organic Kala Namak Rice - 1 kg	Buddha's gift - highly aromatic and nutritious Kala Namak rice. Rare heritage rice variety (Buddha's gift). Intensely aromatic like pandan leaves. Short, bold grains with black husk tip. Premium artisanal rice | Limited harvest	in stock			https://amritmilkorganic.com/products/kala-namak-rice-1kg		https://cdn.sanity.io/images/fqzgs92z/production/650bc4aefb781394f54bf21d32ebc5a4f68a6809-1536x1024.png	350 INR			no			Amrit Milk				new	no																	
AMRIT-RICE-003	Amrit Organic Premium Basmati Rice - 1 kg	Long-grain aged premium Basmati rice. Extra-long grain premium basmati. Aged for 2 years for aroma and texture. Elongates 2x on cooking. Traditional Pusa variety | Export quality	in stock			https://amritmilkorganic.com/products/premium-basmati-rice-1kg		https://cdn.sanity.io/images/fqzgs92z/production/7a2f413b4b43659382e69cd7aae67760d3447bc3-1536x1024.png	185 INR			no			Amrit Milk				new	no																	
AMRIT-RICE-002	Amrit Organic Kala Jeera Low-Sugar Rice - 1 kg	Diabetes-friendly low-sugar Kala Jeera rice. Specially processed for low glycemic index. Diabetes-friendly rice variety. Retains nutrients with low sugar release. Doctor-recommended for diabetics	in stock			https://amritmilkorganic.com/products/kala-jeera-low-sugar-1kg		https://cdn.sanity.io/images/fqzgs92z/production/993de1d7f11dcb7217422d7994de465f39297e3e-1536x1024.png	120 INR			no			Amrit Milk				new	no																	
AMRIT-RICE-001	Amrit Organic Kala Jeera Rice - 1 kg	Aromatic small-grain Kala Jeera rice. Aromatic small-grain black cumin rice. Traditional variety from Terai region. Fluffy texture with nutty flavor. 100% organic | Aged for 1 year	in stock			https://amritmilkorganic.com/products/kala-jeera-rice-1kg		https://cdn.sanity.io/images/fqzgs92z/production/269c1e93de47d0e11b88a8f731d93b69ef46df6b-1536x1024.png	100 INR			no			Amrit Milk				new	no																	
AMRIT-ATTA-006	Amrit Organic Millet Grains - 1 kg	Assorted ancient millet grains. Mix of foxtail, little, kodo, proso millets. Ancient supergrains revived. Naturally gluten-free and alkaline. Climate-resilient heritage grains	in stock			https://amritmilkorganic.com/products/millet-grains-1kg		https://cdn.sanity.io/images/fqzgs92z/production/d078901f47b0d9833051fbe6981511aa28a34bac-1248x832.png	250 INR			no			Amrit Milk				new	no																	
AMRIT-ATTA-005	Amrit Organic Besan & Sattu - 1 kg	Pure Gram flour (Besan) and roasted gram flour (Sattu). 100% pure chickpea (chana) flour. Fine texture with nutty aroma. Naturally gluten-free and protein-rich. Versatile for sweet and savory dishes	in stock			https://amritmilkorganic.com/products/besan-sattu-1kg		https://cdn.sanity.io/images/fqzgs92z/production/a2f33923792b5e9399af25dd0097362378c33728-1536x1024.png	200 INR			no			Amrit Milk				new	no																	
AMRIT-ATTA-004	Amrit Organic Bajra Flour - 1 kg	Traditional pearl millet (Bajra) flour. 100% pure pearl millet (bajra) grains. Traditional winter superfood. Naturally gluten-free and warming. Rajasthani heritage grain	in stock			https://amritmilkorganic.com/products/bajra-flour-1kg		https://cdn.sanity.io/images/fqzgs92z/production/f1cba6bdfab7181600f922dd398e30ccdf3d96dd-1536x1024.png	120 INR			no			Amrit Milk				new	no																	
AMRIT-ATTA-003	Amrit Organic Corn Flour - 1 kg	Pure yellow corn flour. 100% pure yellow corn kernels. Stone-ground for fine texture. Naturally gluten-free flour. Bright yellow color with sweet aroma	in stock			https://amritmilkorganic.com/products/corn-flour-1kg		https://cdn.sanity.io/images/fqzgs92z/production/42453646855c5a27fb8bc46fca96581a76617d4e-1248x832.png	120 INR			no			Amrit Milk				new	no																	
AMRIT-ATTA-002	Amrit Organic Multigrain Atta - 1 kg	Nutritious blend of multiple grains. Blend of Wheat, Kala Chana, Barley, Oats, Maize, Ragi. Rich in fiber and protein. Low glycemic index - diabetes friendly. No preservatives | Fresh-ground	in stock			https://amritmilkorganic.com/products/multigrain-atta-1kg		https://cdn.sanity.io/images/fqzgs92z/production/7280521197fe6a613ad7adebf9ddc5311fca4f29-1536x1024.png	120 INR			no			Amrit Milk				new	no																	
AMRIT-ATTA-001	Amrit Organic Whole Wheat Atta - 1 kg	Stone-ground whole wheat flour. Stone-ground (chakki-ground) traditional method. Retains bran, germ, and endosperm for nutrition. Soft, fluffy rotis with authentic taste. No maida | No preservatives | Fresh-ground	in stock			https://amritmilkorganic.com/products/whole-wheat-atta-1kg		https://cdn.sanity.io/images/fqzgs92z/production/9eee8e5df7cc16c469e84d4ebe18e1b0b4537a06-1536x1024.png	60 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-008	Amrit Milk Organic Khoya - 1 kg	Pure milk solids (Khoya) for traditional sweets. Made from pure A2 Desi Gir cow milk. Slow-cooked to perfection for rich flavor. 100% milk solids | No adulteration. Hand-crafted using traditional methods	in stock			https://amritmilkorganic.com/products/a2-khoya-1kg		https://cdn.sanity.io/images/fqzgs92z/production/cf9d3c2e42cbca0c69bf95d97e58ebb19083af82-1024x1024.jpg	600 INR			no			Amrit Milk				new	no																	
